interaction,direction,correspondent_id,datetime,call_duration,antenna_id
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 02:13:26,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 02:13:49,,
call,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 02:14:50,205,
call,out,7b31f3cc20c9d6f216d43b73d8b540a01648081a,2017-04-23 02:32:10,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 02:38:04,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 02:39:05,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 02:39:18,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 04:40:07,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 04:40:21,,
text,in,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 05:44:58,,
text,out,88ad215ab537b07ca2f8beb13d51cd5175e4217f,2017-04-23 05:45:49,,
call,out,7b31f3cc20c9d6f216d43b73d8b540a01648081a,2017-04-23 06:37:19,4455,
call,out,18452df8a2654696b08897d66b3ebfda36d3ad60,2017-04-23 08:23:50,201,
call,out,7b31f3cc20c9d6f216d43b73d8b540a01648081a,2017-04-23 08:31:01,8125,
call,in,ef4e0a8e3d2515a458d881f02cfd9ff89712ce84,2017-04-23 09:36:01,,
call,in,ef4e0a8e3d2515a458d881f02cfd9ff89712ce84,2017-04-23 09:39:13,,
call,in,ef4e0a8e3d2515a458d881f02cfd9ff89712ce84,2017-04-23 09:43:07,,
call,in,ef4e0a8e3d2515a458d881f02cfd9ff89712ce84,2017-04-23 09:48:15,,
call,in,ef4e0a8e3d2515a458d881f02cfd9ff89712ce84,2017-04-23 10:23:55,,
call,out,e729a096a6c30c9f523e56329b4cdc7993d83b00,2017-04-23 10:47:46,118,
call,in,ef4e0a8e3d2515a458d881f02cfd9ff89712ce84,2017-04-23 16:44:14,124,
